D-Logic生データナレッジファイル構築完了レポート V2
============================================================
完了時刻: 2025-08-08 16:33:25
処理時間: 0.4時間（23.6分）

[最終結果]
収録馬数: 37,878頭
スキップ: 0頭（3走未満）
エラー: 6件
JSONファイルサイズ: 149.1MB

[収録データ仕様]
- 対象期間: 2020-2025年
- 収録条件: 3走以上
- データ内容: 各馬の最新5走（最大）の生データ
- 用途: D-Logic12項目分析の計算元データ

[収録馬一覧]（アルファベット順）
------------------------------------------------------------
  204. アイファーモービル                      5走 最終出走: 2025/07/19
  205. アイファーユニーク                      5走 最終出走: 2023/05/25
  206. アイファーライオン                      5走 最終出走: 2024/06/26
  207. アイファーラクーン                      5走 最終出走: 2024/07/17
  208. アイファーラニオー                      5走 最終出走: 2023/06/15
  209. アイファーリンクス                      5走 最終出走: 2023/12/03
  210. アイファーリーオー                      5走 最終出走: 2025/04/05
  211. アイファーリーダー                      5走 最終出走: 2022/10/26
  212. アイファーリーベン                      5走 最終出走: 2025/05/04
  213. アイファーレッド                       3走 最終出走: 2020/09/11
  214. アイファーレモン                       5走 最終出走: 2022/10/14
  215. アイファーレーザー                      5走 最終出走: 2023/12/19
  216. アイファーロブスト                      5走 最終出走: 2025/02/14
  217. アイファーヴァンズ                      5走 最終出走: 2024/05/04
  218. アイフィロス                         5走 最終出走: 2025/04/25
  219. アイフォーユー                        5走 最終出走: 2023/04/08
  220. アイフリート                         3走 最終出走: 2022/02/24
  221. アイフレンズ                         5走 最終出走: 2022/10/28
  222. アイブランコ                         5走 最終出走: 2024/11/20
  223. アイブリンク                         5走 最終出走: 2025/07/20
  224. アイベラ                           5走 最終出走: 2024/09/27
  225. アイマックス                         5走 最終出走: 2022/04/14
  226. アイムアクイーン                       3走 最終出走: 2025/07/26
  227. アイムアグレッシブ                      5走 最終出走: 2022/11/27
  228. アイムクリエイター                      5走 最終出走: 2024/07/10
  229. アイムソーグレイト                      5走 最終出走: 2022/01/03
  230. アイムファイン                        5走 最終出走: 2024/07/13
  231. アイムフィアレス                       5走 最終出走: 2024/07/14
  232. アイムプラウド                        5走 最終出走: 2024/04/14
  233. アイムポッシブル                       5走 最終出走: 2022/03/12
  234. アイムワン                          5走 最終出走: 2021/10/12
  235. アイメイドイット                       5走 最終出走: 2022/11/01
  236. アイヤナ                           5走 最終出走: 2023/12/07
  237. アイヨトワニ                         5走 最終出走: 2025/07/22
  238. アイラグピース                        3走 最終出走: 2022/04/09
  239. アイラジオーネ                        5走 最終出走: 2022/07/10
  240. アイラブテーラー                       5走 最終出走: 2023/03/26
  241. アイラブユー                         5走 最終出走: 2023/05/14
  242. アイランドガール                       3走 最終出走: 2023/09/03
  243. アイランドピーク                       5走 最終出走: 2025/07/06
  244. アイラヴシノジマ                       5走 最終出走: 2023/06/28
  245. アイリイファースト                      5走 最終出走: 2024/10/24
  246. アイリスアゲート                       4走 最終出走: 2021/07/11
  247. アイリスクォーツ                       5走 最終出走: 2023/12/02
  248. アイリステソーロ                       4走 最終出走: 2020/09/26
  249. アイリスト                          5走 最終出走: 2024/06/19
  250. アイリスハート                        3走 最終出走: 2022/08/20
  251. アイリスバローズ                       5走 最終出走: 2024/06/14
  252. アイリッシュセンス                      5走 最終出走: 2024/06/16
  253. アイリッシュパール                      5走 最終出走: 2025/05/03
  254. アイリッシュベル                       5走 最終出走: 2021/08/07
  255. アイリッシュボム                       5走 最終出走: 2021/12/11
  256. アイリッシュムーン                      5走 最終出走: 2023/02/19
  257. アイリュミエール                       5走 最終出走: 2020/11/16
  258. アイリュール                         5走 最終出走: 2024/12/17
  259. アイリータイム                        3走 最終出走: 2024/07/06
  260. アイリーライフ                        5走 最終出走: 2023/11/07
  261. アイリーン                          5走 最終出走: 2023/08/27
  262. アイリーンテーラー                      5走 最終出走: 2023/08/26
  263. アイルオブチェリー                      5走 最終出走: 2021/11/23
  264. アイルキング                         5走 最終出走: 2023/02/14
  265. アイルクラウン                        3走 最終出走: 2025/06/15
  266. アイルシャイン                        5走 最終出走: 2024/05/04
  267. アイルシャンス                        3走 最終出走: 2025/05/31
  268. アイルショウユー                       5走 最終出走: 2020/08/22
  269. アイルチャーム                        3走 最終出走: 2020/04/12
  270. アイルトンバローズ                      4走 最終出走: 2025/07/05
  271. アイルトンライト                       5走 最終出走: 2023/12/04
  272. アイルドリアン                        5走 最終出走: 2025/04/13
  273. アイルビリーヴ                        5走 最終出走: 2025/06/28
  274. アイルビー                          4走 最終出走: 2020/10/18
  275. アイルビーザスター                      5走 最終出走: 2020/08/13
  276. アイルビーザワン                       5走 最終出走: 2023/06/18
  277. アイルビーゼア                        5走 最終出走: 2023/12/29
  278. アイルビーメジャー                      5走 最終出走: 2025/03/11
  279. アイルランズコール                      5走 最終出走: 2025/07/05
  280. アイレ                            5走 最終出走: 2022/08/28
  281. アイレスアン                         4走 最終出走: 2022/08/28
  282. アイレスタイム                        5走 最終出走: 2022/09/23
  283. アイレント                          4走 最終出走: 2024/08/11
  284. アイロンワークス                       5走 最終出走: 2021/10/24
  285. アイワナアイドル                       5走 最終出走: 2024/10/31
  286. アイワナスマイル                       5走 最終出走: 2021/06/27
  287. アイワナトラスト                       5走 最終出走: 2022/02/12
  288. アイワナビリーヴ                       5走 最終出走: 2022/03/21
  289. アイヲコメテ                         5走 最終出走: 2024/08/24
  290. アイヲツグモノ                        5走 最終出走: 2025/07/05
  291. アイヲヨブテーラー                      5走 最終出走: 2024/03/26
  292. アインゲーブング                       5走 最終出走: 2023/12/10
  293. アインシュペンナー                      5走 最終出走: 2024/01/07
  294. アインジェニー                        5走 最終出走: 2024/06/22
  295. アインハーディ                        5走 最終出走: 2024/09/16
  296. アインホルン                         5走 最終出走: 2025/08/02
  297. アイヴァン                          4走 最終出走: 2020/10/15
  298. アイヴィハウス                        3走 最終出走: 2023/10/07
  299. アイヴィーサ                         5走 最終出走: 2020/10/11
  300. アイヴォリーアイ                       5走 最終出走: 2023/12/16
  301. アイヴォリードレス                      5走 最終出走: 2024/06/15
  302. アイヴカムバック                       5走 最終出走: 2024/11/28
  303. アウィウィリオ                        5走 最終出走: 2024/11/14
  304. アウィルアウェイ                       5走 最終出走: 2021/11/28
  305. アウェイキング                        5走 最終出走: 2024/05/25
  306. アウェイクニング                       3走 最終出走: 2020/06/18
  307. アウクソー                          5走 最終出走: 2025/07/27
  308. アウグスト                          5走 最終出走: 2024/12/15
  309. アウグローニ                         3走 最終出走: 2021/12/29
  310. アウグーリ                          5走 最終出走: 2024/12/20
  311. アウゲンブリック                       5走 最終出走: 2024/11/16
  312. アウサンガテ                         5走 最終出走: 2024/04/07
  313. アウステルリッツ                       3走 最終出走: 2021/03/20
  314. アウストラリス                        5走 最終出走: 2025/02/14
  315. アウストロ                          5走 最終出走: 2025/06/25
  316. アウスドルック                        3走 最終出走: 2021/02/27
  317. アウスラフラッグ                       5走 最終出走: 2025/07/06
  318. アウスヴァール                        5走 最終出走: 2025/06/29
  319. アウセンザイター                       5走 最終出走: 2024/06/02
  320. アウタースペース                       5走 最終出走: 2024/10/05
  321. アウダース                          3走 最終出走: 2024/09/08
  322. アウティスタ                         5走 最終出走: 2023/10/04
  323. アウティミアー                        5走 最終出走: 2023/03/21
  324. アウトウッズ                         5走 最終出走: 2022/02/27
  325. アウトオブサイト                       5走 最終出走: 2022/11/19
  326. アウトオブザブルー                      5走 最終出走: 2022/01/10
  327. アウトオブワーズ                       3走 最終出走: 2020/10/24
  328. アウトサイドベット                      5走 最終出走: 2025/04/22
